#name data
___CONFIG	b00001001	Регистр 0x00 - включить: контроль CRC, PTX(передача)
____EN_AA	b00000011	Регистр 0x01 - включить: подтверждение передача по pipe 0
EN_RXADDR	b00000011	Регистр 0x02 - Включить канал 0
SETUP_AW	b00000001	Регистр 0x03 - Размер адреса 3-байта
SETUP_RETR	b11111111	Регистр 0x04 - Задержка ретрансляции 4 ьили секнды, 15 ретрансляций
_____RF_CH	b00000111	Регистр 0x05 - Номер частотного канала 7
RF_SETUP	b00100110	Регистр 0x06 - Скорост 250k
RX_ADDR_P0	0x100002	Регистр 0x0A - Три байта адреса pipe0
RX_ADDR_P1	0x100001	Регистр 0x0A - Три байта адреса pipe1
_TX_ADDR	0x100002	Регистр 0x10 - Три байта адреса для предачи
RX_PW_P0	0x09	Регистр 0x11 - Объе полезных данных пакета pipe 0 = 1
RX_PW_P1	0x09	Регистр 0x12 - Объе полезных данных пакета pipe 1 = 1
# Пока хватит
